Nom,Adresse IP,Localisation,Contact,Email,Téléphone,Sondes,Ports ouverts
Franchise Paris 1,192.168.1.10,"Paris, France",Jean Dupont,jean.dupont@paris1.com,+33 6 12 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"80, 443, 22"
Franchise Marseille 1,192.168.1.11,"Marseille, France",Marie Dubois,marie.dubois@marseille1.com,+33 6 98 76 54 32,Sonda 1: En ligne; Sonda 2: En ligne,"80, 443, 3306"
Franchise Lyon 1,192.168.1.12,"Lyon, France",Jacques Martin,jacques.martin@lyon1.com,+33 6 22 33 44 55,Sonda 1: En ligne,"22, 3389"
Franchise Bordeaux 1,192.168.1.13,"Bordeaux, France",Alice Renault,alice.renault@bordeaux1.com,+33 6 11 22 33 44,Sonda 1: En ligne; Sonda 2: Hors ligne,"443, 25, 110"
Franchise Lille 1,192.168.1.14,"Lille, France",Paul Lefevre,paul.lefevre@lille1.com,+33 6 99 88 77 66,Sonda 1: Hors ligne,"80, 443, 21"
Franchise Générique 6,192.168.2.6,"Ville Générique 6, France",Contact 6,contact6@generic6.com,+33 6 62 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 7,192.168.2.7,"Ville Générique 7, France",Contact 7,contact7@generic7.com,+33 6 72 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 8,192.168.2.8,"Ville Générique 8, France",Contact 8,contact8@generic8.com,+33 6 82 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 9,192.168.2.9,"Ville Générique 9, France",Contact 9,contact9@generic9.com,+33 6 92 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 10,192.168.2.10,"Ville Générique 10, France",Contact 10,contact10@generic10.com,+33 6 102 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 11,192.168.2.11,"Ville Générique 11, France",Contact 11,contact11@generic11.com,+33 6 112 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 12,192.168.2.12,"Ville Générique 12, France",Contact 12,contact12@generic12.com,+33 6 122 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 13,192.168.2.13,"Ville Générique 13, France",Contact 13,contact13@generic13.com,+33 6 132 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 14,192.168.2.14,"Ville Générique 14, France",Contact 14,contact14@generic14.com,+33 6 142 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 15,192.168.2.15,"Ville Générique 15, France",Contact 15,contact15@generic15.com,+33 6 152 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 16,192.168.2.16,"Ville Générique 16, France",Contact 16,contact16@generic16.com,+33 6 162 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 17,192.168.2.17,"Ville Générique 17, France",Contact 17,contact17@generic17.com,+33 6 172 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
Franchise Générique 18,192.168.2.18,"Ville Générique 18, France",Contact 18,contact18@generic18.com,+33 6 182 34 56 78,Sonda 1: En ligne; Sonda 2: Hors ligne,"22, 443"
